IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.9.245.26,27043,443,true,HKG,Asia Pacific,Hong Kong,33,5.33
163.53.246.152,27033,443,true,HKG,Asia Pacific,Hong Kong,25,5.00
154.9.245.27,47509,443,true,HKG,Asia Pacific,Hong Kong,33,4.62
45.94.43.164,43397,443,true,HKG,Asia Pacific,Hong Kong,22,4.51
154.9.245.27,29513,443,true,HKG,Asia Pacific,Hong Kong,26,4.30
45.149.186.112,8080,443,true,HKG,Asia Pacific,Hong Kong,74,4.28
46.3.105.154,8711,443,true,HKG,Asia Pacific,Hong Kong,32,4.20
154.9.245.26,27054,443,true,HKG,Asia Pacific,Hong Kong,23,4.18
206.237.24.40,2083,443,true,HKG,Asia Pacific,Hong Kong,30,3.96
154.9.245.26,20174,443,true,HKG,Asia Pacific,Hong Kong,22,3.81
154.9.245.27,41220,443,true,HKG,Asia Pacific,Hong Kong,24,3.73
45.152.64.147,36031,443,true,HKG,Asia Pacific,Hong Kong,49,3.60
154.9.245.26,25953,443,true,HKG,Asia Pacific,Hong Kong,25,3.35
149.104.20.61,25296,443,true,HKG,Asia Pacific,Hong Kong,28,2.94
46.3.110.43,19665,443,true,HKG,Asia Pacific,Hong Kong,22,2.91
154.9.245.26,27061,443,true,HKG,Asia Pacific,Hong Kong,32,2.82
163.53.246.152,27043,443,true,HKG,Asia Pacific,Hong Kong,23,2.77
121.200.112.143,21132,443,true,HKG,Asia Pacific,Hong Kong,186,2.71
154.9.245.26,27014,443,true,HKG,Asia Pacific,Hong Kong,35,2.65
154.9.245.27,33463,443,true,HKG,Asia Pacific,Hong Kong,35,2.53
202.181.26.204,49763,443,true,HKG,Asia Pacific,Hong Kong,27,2.52
117.123.31.2,18065,443,true,HKG,Asia Pacific,Hong Kong,182,2.34
162.245.221.116,55988,443,true,HKG,Asia Pacific,Hong Kong,23,2.33
154.9.245.27,30216,443,true,HKG,Asia Pacific,Hong Kong,23,2.26
38.147.174.67,843,443,true,HKG,Asia Pacific,Hong Kong,21,2.20
157.254.53.50,80,80,false,HKG,Asia Pacific,Hong Kong,20,2.05
43.252.231.103,30526,443,true,HKG,Asia Pacific,Hong Kong,33,1.73
163.53.246.152,20174,443,true,HKG,Asia Pacific,Hong Kong,23,1.69
38.47.123.15,60999,80,false,HKG,Asia Pacific,Hong Kong,19,1.67
121.200.112.143,38673,443,true,HKG,Asia Pacific,Hong Kong,190,1.53
206.237.24.248,15423,443,true,HKG,Asia Pacific,Hong Kong,35,1.49
141.11.90.15,25856,443,true,HKG,Asia Pacific,Hong Kong,79,1.46
103.20.222.236,34651,443,true,HKG,Asia Pacific,Hong Kong,24,1.46
141.11.148.39,2053,443,true,HKG,Asia Pacific,Hong Kong,74,1.40
141.11.149.64,59644,443,true,HKG,Asia Pacific,Hong Kong,74,1.38
89.213.239.190,48832,443,true,HKG,Asia Pacific,Hong Kong,89,1.34
154.9.245.26,30387,443,true,HKG,Asia Pacific,Hong Kong,33,1.33
45.39.198.23,57371,443,true,HKG,Asia Pacific,Hong Kong,75,1.15
103.226.124.218,7999,80,false,HKG,Asia Pacific,Hong Kong,35,0.98
103.229.127.208,3616,80,false,HKG,Asia Pacific,Hong Kong,33,0.96
163.53.246.152,25950,443,true,HKG,Asia Pacific,Hong Kong,19,0.95
163.53.246.152,30387,443,true,HKG,Asia Pacific,Hong Kong,19,0.94
103.115.40.133,36332,443,true,HKG,Asia Pacific,Hong Kong,33,0.94
117.123.31.2,11968,443,true,HKG,Asia Pacific,Hong Kong,197,0.75
103.20.223.16,50048,443,true,HKG,Asia Pacific,Hong Kong,21,0.52
103.234.53.139,54825,443,true,HKG,Asia Pacific,Hong Kong,33,0.40
121.200.112.143,33347,443,true,HKG,Asia Pacific,Hong Kong,197,0.39
141.11.149.48,35333,443,true,HKG,Asia Pacific,Hong Kong,75,0.22
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,79,0.19
8.223.39.101,443,443,true,HKG,Asia Pacific,Hong Kong,35,0.17
128.1.132.82,443,443,true,HKG,Asia Pacific,Hong Kong,25,0.13
165.154.43.92,35187,443,true,HKG,Asia Pacific,Hong Kong,21,0.12
165.154.43.92,35181,443,true,HKG,Asia Pacific,Hong Kong,18,0.10
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,22,0.07
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,33,0.03
157.254.32.25,28530,443,true,HKG,Asia Pacific,Hong Kong,25,0.01
157.254.32.25,44987,443,true,HKG,Asia Pacific,Hong Kong,33,0.01
154.9.246.136,8001,80,false,HKG,Asia Pacific,Hong Kong,27,0.01
157.254.32.25,35449,443,true,HKG,Asia Pacific,Hong Kong,204,0.01
202.181.27.218,14526,443,true,HKG,Asia Pacific,Hong Kong,49,0.00
185.155.235.106,443,443,true,HKG,Asia Pacific,Hong Kong,44,0.00
38.147.190.245,55331,443,true,HKG,Asia Pacific,Hong Kong,50,0.00
