IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.220.142,80,443,true,SEA,North America,Seattle,185,4.51
204.110.221.241,80,443,true,SEA,North America,Seattle,187,3.19
204.110.221.121,80,443,true,SEA,North America,Seattle,184,2.97
204.110.220.56,80,443,true,SEA,North America,Seattle,203,2.97
204.110.220.72,80,443,true,SEA,North America,Seattle,177,2.81
204.110.220.53,80,443,true,SEA,North America,Seattle,183,2.69
204.110.221.183,80,443,true,SEA,North America,Seattle,203,2.66
172.179.181.196,80,80,false,SEA,North America,Seattle,209,2.63
204.110.220.85,80,443,true,SEA,North America,Seattle,182,2.57
204.110.220.28,80,443,true,SEA,North America,Seattle,180,2.37
204.110.220.153,80,443,true,SEA,North America,Seattle,192,2.27
204.110.220.247,80,443,true,SEA,North America,Seattle,181,2.21
204.110.221.73,80,443,true,SEA,North America,Seattle,210,2.17
204.110.221.175,80,443,true,SEA,North America,Seattle,203,2.16
204.110.220.220,80,443,true,SEA,North America,Seattle,191,2.15
204.110.220.179,80,443,true,SEA,North America,Seattle,184,2.14
204.110.220.150,80,443,true,SEA,North America,Seattle,201,2.11
204.110.220.240,80,443,true,SEA,North America,Seattle,191,2.04
204.110.221.161,80,443,true,SEA,North America,Seattle,182,2.01
204.110.221.77,80,443,true,SEA,North America,Seattle,201,1.99
204.110.221.158,80,443,true,SEA,North America,Seattle,209,1.86
204.110.221.248,80,443,true,SEA,North America,Seattle,183,1.85
204.110.220.92,80,443,true,SEA,North America,Seattle,201,1.83
204.110.220.146,80,443,true,SEA,North America,Seattle,203,1.81
204.110.220.159,80,443,true,SEA,North America,Seattle,184,1.78
35.95.178.68,443,443,true,SEA,North America,Seattle,197,1.77
204.110.221.250,80,443,true,SEA,North America,Seattle,179,1.73
204.110.220.38,80,443,true,SEA,North America,Seattle,185,1.62
204.110.220.191,80,443,true,SEA,North America,Seattle,184,1.57
204.110.220.95,80,443,true,SEA,North America,Seattle,184,1.56
204.110.220.3,80,443,true,SEA,North America,Seattle,202,1.51
204.110.221.129,80,443,true,SEA,North America,Seattle,197,1.50
204.110.220.198,80,443,true,SEA,North America,Seattle,193,1.50
204.110.220.20,80,443,true,SEA,North America,Seattle,187,1.50
204.110.220.226,80,443,true,SEA,North America,Seattle,201,1.48
204.110.221.211,80,443,true,SEA,North America,Seattle,189,1.45
204.110.220.14,80,443,true,SEA,North America,Seattle,198,1.45
204.110.221.157,80,443,true,SEA,North America,Seattle,188,1.44
204.110.221.231,80,443,true,SEA,North America,Seattle,187,1.42
35.167.93.200,443,443,true,SEA,North America,Seattle,197,1.40
204.110.221.90,80,443,true,SEA,North America,Seattle,201,1.40
204.110.221.138,80,443,true,SEA,North America,Seattle,201,1.36
35.88.24.92,443,443,true,SEA,North America,Seattle,181,1.35
204.110.220.49,80,443,true,SEA,North America,Seattle,202,1.35
204.110.220.180,80,443,true,SEA,North America,Seattle,203,1.31
204.110.220.138,80,443,true,SEA,North America,Seattle,197,1.31
204.110.220.175,80,443,true,SEA,North America,Seattle,181,1.30
204.110.220.233,80,443,true,SEA,North America,Seattle,203,1.30
204.110.220.244,80,443,true,SEA,North America,Seattle,192,1.29
204.110.220.88,80,443,true,SEA,North America,Seattle,187,1.27
204.110.221.188,80,443,true,SEA,North America,Seattle,198,1.24
204.110.220.243,80,443,true,SEA,North America,Seattle,179,1.23
204.110.221.41,80,443,true,SEA,North America,Seattle,182,1.23
204.110.221.172,80,443,true,SEA,North America,Seattle,203,1.20
204.110.220.55,80,443,true,SEA,North America,Seattle,186,1.17
204.110.220.225,80,443,true,SEA,North America,Seattle,188,1.16
